Name,Hours,Location,isFeatured,isNew,Description,Logo,Category
Burger King,All week days - 11am to 10pm.,Courtyard Ground Level,,,"Every day, more than 11 million guests visit BURGER KING(r) restaurants around the world. And they do so because our restaurants are known for serving high-quality, great-tasting, and affordable food. Founded in 1954, BURGER KING(r) is the second largest fast food hamburger chain in the world with about 13,000 restaurants operating in 100 countries. The original HOME OF THE WHOPPER(r), our commitment to premium ingredients, signature recipes, and family-friendly dining experiences is what has defined our brand for more than 50 successful years.",,"Cafes, Restaurants , Desserts"
Byblos,All week days - 11am to 10pm.,Sai Service Area,,,"Byblos is a fun, edgy restaurant in phoenix mills, lower parel with a trendy and sleek atmosphere. Playful food meets serious and elegant plating. Byblos Food and Wine hopes to herald a new food renaissance, with renewed interest in fresh, additive free food that is organic and locally sourced. Byblos transforms the restaurant space into a socially dynamic one, where the interplay begins not only between the diner and the food, but between all the senses.",,
Café Moshes,All week days - 11am to 10pm.,Palladium Ground Level,,,Moshes has the distinction of being the only signature chain of restaurants and cafes in Mumbai. Each outlet comes with an unspoken pledge made from the freshest and the most natural ingredients and prepared in the traditional way. The freshness flows into the casual and comfortable ambience which exudes warmth and cheerfulness.,,"Cafes, Restaurants , Desserts"
California Pizza Kitchen,All week days - 11am to 10pm.,Courtyard First level,,,"It all begins with an imagination and ends with unforgettable flavours at California Pizza Kitchen. The restaurant has been successful in spreading its mission of providing innovative recipes, brought to life with fresh, high quality ingredients. California Pizza Kitchen is exquisitely ornamented with warm colours and rich textures. The open-exhibition kitchen takes centre stage where guests can watch all novel creations being prepared first hand. Extending its hospitality further, California Pizza Kitchen brings unique and wholesome offering for foodies by providing them an exceptional gourmet experience specially designed by our expert Chef. From hearth-baked pizzas, speciality pastas, creative salads, appetizers, soups, sandwiches and desserts, California Pizza Kitchen has won legions of food experts. The palatable menu comprises of an array of dishes ranging from pizzas to pastas including highlights such as Thai Crunch Salad, BBQ Salad, Spicy Chipotle Chicken Pizza, Chicken Carnitas Pizza, Fire Roasted Vegetable Pizza, Tostada Pizza, BBQ Chicken Pizza, Chicken Fajita Pizza to name a few. Adding tang to the food flavours are the refreshing Coolers, Iced Teas , Lemonades. And for the perfect finish, end your meal on a sweet note with desserts such as the signature Red Velvet Cake and Tiramisu.",,"Cafes, Restaurants , Desserts"
Calvin Klein Jeans,All week days - 11am to 10pm.,Palladium Second Level,,,"From the designer himself, Calvin Klein, offers options for men and women in casual wear including accessories",,General Fashion
CANALI,All week days - 11am to 10pm.,Palladium Ground Level,,,"The range of Canali products broadened with the launch of the Canali Proposta and Canali Exclusive lines, as well as expanding to encompass an accessories collection of shirts, ties, belts, shoes and the distinctive line of Canali Sportswear. In its third generation, Canali today constitutes a design and manufacturing group, with seven centers of production located in Italy - all connected with its headquarters at Sovico, near Milan. Each garment is tailored and produced in Italy. Canali has now opened its doors at The Palladium.",,Mens Fashion
Canon,,,,,,,"Electronics, Gizmos , Gadgets"
Canvas Laugh Club,All week days - 11am to 10pm.,Palladium,,,"Canvas Laugh Club is India’s Foremost Comedy Club where everyday our customers come with colleagues, friends and families to see the Best Comedy Shows and unwind after a long-day. We work with the top artists in the country to produce shows, generate content, develop new comedy talent, and spread awareness of the art form that we love. We also curate a program of the best shows and artists at India’s first and only venue dedicated to the genre of live comedy, the Canvas Laugh Club, Mumbai. Our venue, it’s a club and particularly its notorious green rooms are frequented by the crème of the comedy circuit, on any night of the week there are always a few lingering around.",,"Multiplex, FEC , Entertainment"
CELIO,All week days - 11am to 10pm.,Palladium First Level,,,"Specialists in men ready-to-wear, Celio offers its customers trousers, shirts, sweaters, t-shirts, polo-shirts, suits, jackets, belts, ties and boxer shorts. A fashion collection, reinterpreted every season in order to remain the most innovative, structured around our three categories - Sportswear, Casual and Business.",,Mens Fashion
Chanel,All week days - 11am to 10pm.,Palladium Ground Level,,,"Chanel is a French fashion house founded by the couturier Gabrielle Coco Chanel, recognized as one of the most established in haute couture, specializing in luxury goods (haute couture, ready-to-wear, handbags, perfumery, and cosmetics among others. The Chanel store is now open at The Palladium",,"Cosmetics, Salon, Spas , Optics"
"Charles , Keith",All week days - 11am to 10pm.,GG Connect,,,"Charles , Keith brings shoppers a plethora of stylish footwear and accessories! This new store at Grand Galleria has everything from basic pumps to wedges. The brand exudes style and confidence, caters to all you fashion forward and trendy shoppers! Charles , Keith not only complements but completes your wardrobe. Be assured to find great shoes and bags here!",,"Foot Fashion, Bags, Luggage , Accessories"
CHEEMO,All week days - 11am to 10pm.,Palladium Second Level,,,"The store provides leather footwear, bags, handbags, purses and accessories in classic and contemporary styles",,"Foot Fashion, Bags, Luggage , Accessories"
Chemistry,All week days - 11am to 10pm.,Palladium Third Level,,,"The founders of Chemistry, Sunil and Shalia Jhangiani, saw a need to bring on trend fashion to stylish young Indian woman. Who follow international style trends and want a wardrobe that reflects their experimental and confident style. Chemistry collections take inspiration from the catwalks of Europe, whilst also working in collaboration with trend and colour forecasting agencies, from across the world. Chemistry wants to offer Indian women access to exciting on-trend casual fashion. Which compliment both the Indian female form and with fabrics suited to the Indian climate.",,Womens Fashion
Chicco,All week days - 11am to 10pm.,Skyzone First Level,,,"Its a babys day out at High Street Phoenix as Chicco, the worlds favorite baby care brand opens its flagship store to celebrate the festive season. Chicco is constantly thinking of ways to keep babies safe and happy, whether its playing, relaxing, travelling, eating or sleeping - everything has one purpose - the smile of a baby.",,Kids Fashion
CitiBank,,,,,,,Service
CLAIRES,All week days - 11am to 10pm.,Skyzone Ground Level,,,"Claire’s Stores Inc is one of the world’s leading specialty retailers of fashionable jewellery and accessories for young women, teens, tweens and kids. Its vision is to inspire girls and women around the world to become their best selves by providing products and experiences that empower them to express their own unique individual styles. Claire’s® represents a ""Girl’s Best Friend"" and a favourite shopping destination for teens, tweens, and kids. With constant celebrity/brand associations ,from Katy Perry, One Direction and Vamps to Frozen, Hello Kitty, Disney Princess and more, Claire’s ®keep things fun and exciting.",,"Watches, Jewellery , Fashion Accessories"
Clarins,All week days - 11am to 10pm.,Grand Galleria,,,"French , European leader in skincare. Clarins products are 100% plant based and offers solutions to various skin concerns. Clarins always strives to offer the best products based on a detailed skin analysis at the accessible prices.",,"Cosmetics, Salon, Spas , Optics"
Clarks,All week days - 11am to 10pm.,GG Connect,,,"Clarks has been committed to selling shoes that offer superior quality, style and comfort. Clakrs offers a huge variety of shoes found in sections such as boots, casual and sandals for both genders.",,"Foot Fashion, Bags, Luggage , Accessories"
clinque,All week days - 11am to 10pm.,Palladium Second Level,,,"Founded on the philosophy that great skin can be created, Clinique pioneered the dermatologist-developed cosmetics brand. Each beautifully crafted Clinique skin care and make up product is Allergy tested and 100% fragrance free - crucial in a world where allergies have been labeled the modern epidemic.",,
"Coffee Bean , Tea Leaf",All week days - 11am to 10pm.,Skyzone Ground Level,,,"Founded in 1963, The Coffee Bean , Tea Leaf® is the oldest and largest privately-held chain of specialty coffee and tea stores in the United States. With a reputation for excellence, the company is a leader in product innovations, having developed the original Ice Blended® beverage. Providing the highest quality coffees and teas for 50 years, The Coffee Bean , Tea Leaf® currently has more than 800 stores. These stores blanket the world in markets such as The United States, Singapore, Malaysia, Korea, Brunei, Indonesia, UAE, Israel, Australia, China, Kuwait, Egypt, Qatar, and the Philippines and continue to expand both domestically and internationally.  In India, it has outlets in Delhi, Mumbai, Kolkata and Hyderabad. Coffee Bean in India has made a mark by offering the International coffee experience besides the food specially made for the Indian markets. Besides the signature Ice Blended , Coffee Bean in India has signature sandwiches, chocolate fondues etc. ",,"Cafes, Restaurants , Desserts"
Color plus,All week days - 11am to 10pm.,Skyzone Ground Level,,,"+912224966067 / 9324652233 ,cbtlhspmum@panindiafoods.com",,Mens Fashion
Copper Chimney,All week days - 11am to 10pm.,Courtyard,,,"Timeless craft of Great North Indian Cuisine - that is Copper Chimney for you !! Declared as the undisputed capital of authentic north Indian cuisine by food lovers, Copper Chimney has been Mumbais foremost culinary landmark.The signature dishes include Chelo Kebab, Jinga Nisha,Vegetable Kheema, Benarasi Pulao that have been prepared with our trademarked spices and mixes.",,"Cafes, Restaurants , Desserts"
Costa Coffee ,All week days - 11am to 10pm.,Skyzone First Level,,,Costa Coffee - A Haven for Coffee lovers a perfect lace for conversation over coffee. Every single Costa store/staff is professionally trained in the art of coffee making by our experts. Costa Coffee promises you a perfect cup of Costa coffee every time you visit.,,"Cafes, Restaurants , Desserts"
Cotton World,All week days - 11am to 10pm.,GG Connect,,,"Cotton World is Indians first store dedicated to natural clothing, offering a variety of comfortable and quality rich clothes for men , women.",,General Fashion
Cream Centre,All week days - 11am to 10pm.,Skyzone First Level,,,"Cream Centre has transcended generations to emerge as the leading vegetarian restaurant with all-time favorites and inventive culnary innovations in an inviting ambience to a discerning clientele. Cream Centre first claimed its fame with its still best selling dish, The Original Channa Bhaturas and other Punjabi dishes. The restaurant has adapted to changing trends and created original dishes like the Worlds Best Nachos  Mera Chhota Sizzler, Mera Thali and Sizzling Brownie Fundae ",,"Cafes, Restaurants , Desserts"
Crocs,All week days - 11am to 10pm.,Skyzone Ground Level,,,The international brand for its unusal shape in footwear Crocs provides a good option for those looking for the wet weather and casual wear with bold and bright colours. The store stocks for the entire family including children and toddlers alike.,,"Foot Fashion, Bags, Luggage , Accessories"
CROMA,All week days - 11am to 10pm.,Grand Galleria,,,"Opened in Dec 2008, the High Street Phoenix store of Croma, The Electronics Megastore has catered to and delighted myriads of customers by satisfying not just their electronics needs but also by providing them a world class shopping experience through our 15,000 sq.ft. of great shopping ambience, wide range of products, robust after sales service and our trained and knowledgeable sales executives who help consumers make informed purchase decisions. Croma is owned and run by Infiniti Retail Limited, a 100% subsidiary of Tata Sons. Woolworths Ltd, the Australian retail giant, provides technical support and strategic sourcing facilities from its global network.",,"Electronics, Gizmos , Gadgets"
Da Milano,All week days - 11am to 10pm.,Palladium Third Level,,,"Chic, fancy and very handy handbags, Da Milano provides quality and classy bags and accessories for women.",,"Foot Fashion, Bags, Luggage , Accessories"
Daniel Hecter,All week days - 11am to 10pm.,Palladium Third Level,,,The renowed brand for men in semi formal formal and casual wear.,,Mens Fashion
Davidoff,All week days - 11am to 10pm.,Palladium Third Level,,,"We remain loyal to Zino Davidoff’s demanding and innovative principles which built the brand and created the myth of Davidoff. This is not only the heritage bestowed upon us by Zino, it’s the map that guides us on our quest forward. The Davidoff philosophy means finding true luxury in living passionately and intensely, living every moment fully, to the limit. The world is a borderless wonderland, full of never-ending inspirations and opportunities to bring together the finest materials and ingredients. It is this passion for exploring the new, uncovering and discovering the ultimate in design, craftsmanship and innovation that underscores Davidoff bedrock belief - because life is too precious for compromise, only the best will do. Zino Davidoffs vision and principle to travel the world in quest for inspiration and his commitment to offer ultimate quality is embodied by every product bearing Davidoff brand name. Zinos pure pleasure in life, his spirit and in-depth expertise combined with his special ability to treat every customer with special attention, contributes to the companys global success. Davidoffs prime focus has always been quality. Forever determined to offer the best, inspirations from all over the world are translated into products of perfection. Expertise and passion are an integral part of the development process which emphasizes the uniqueness. Elegant understatement, iconic design and premium ingredients combined with perfect craftsmanship: these are the fundamental characteristics of all Davidoff products, which support the holistic and mobile lifestyle of todays cultivated global citizens.",,"Home Decor / Accessories, Gifts , Hobbies"
Dessange Paris,Opening Soon,Skyzone Level One,,,"No1 “Huate Coiffure"" in the world as it’s rightly called; DESSANGE is undoubtedly world’s leading International salon and spa with around 2000 salons in 47 countries. Femininity, elegance and charm - three words define the world of DESSANGE, a house of luxury dedicated to womens beauty. Aiming to offer state of art, a global concept of beauty that combines the elegance, personality and quality of a genuinely tailor-made offering, Dessange Paris opened its gates in Mumbai with two signature salon located at Kemps corner and Bandra and will soon be opening its third signature salon at High Street Phoenix, Lower Parel. This salon and spa expertise extends to the core of the brands product ranges, with hair care, make-up, face and body care formulas that offer every woman a glamorous aura, a sensory experience and a professional result.",,"Cosmetics, Salon, Spas , Optics"
Diesel,All week days - 11am to 10pm.,Palladium Ground Level,,,"Diesel S.P.A. is an Italian design company. It is best known for luxury, pret-a-porter clothing aimed at the young adult market, particularly jeans. The Diesel store is now open at The Palladium.",,General Fashion
DKNY,,,,,,,Womens Fashion
Dominos,All week days - 11am to 10pm.,Courtyard,,,"The current Dominos menu features a variety of Italian-American entrees and side dishes. Pizza is the primary focus, with traditional, specialty and custom pizzas available in a variety of crust styles and toppings. Additional entrees include pasta bread bowls and oven-baked sandwiches. The menu offers chicken side dishes, breadsticks and salads, as well as beverages and desserts.",,"Cafes, Restaurants , Desserts"
Dune London,All week days - 11am to 10pm.,Palladium Second Level,,,"The Dune Group is one of the most influential global players in fashion footwear and accessories. Founded in 1992 in London, Dune has rapidly expanded to include over 300 outlets across UK, Europe, Russia and the Middle east, as well as online. Our unique collections are all beautifully designed in-house offering a style for every occasion, and are adored by celebrities and fashionistas with a flair for style, highest expectations in quality and attention to detail. The Dune range of men’s and ladies footwear, bags and accessories is the epitome of affordable luxury.",,Mens Fashion
E Dresses,All week days - 11am to 10pm.,Palladium HSU Ground Level,,,"We dream big and never settle for the status. Our focus is to provide best service to the customers with Hi-tech accessories that look as good as they function. Incorporated in 2013, one of the leading of various Hi -tech mobile accessories and digital media. company founder Mr. Ashish Thakkar he has one of the best experience in the field of hi-tech Lifestyle Gadgets and many more.......",,"Electronics, Gizmos , Gadgets"
Ed Hardy,All week days - 11am to 10pm.,Palladium Third Level,,,"Ed Hardy is an internationally recognized brand and enjoys the status of a cult classic with massive fan following. An alternative lifestyle brand at its core, the brand celebrates classic American tattoos as an art form. Don Ed Hardy is considered by many to be the Godfather of Tattoo. His work offers timeless and a distinct artistic appeal. The mission of the brand is to stay true to the essence of Don Ed Hardy’s vision for his art, and celebrate its history and beauty by creating dynamic apparel and related lifestyle products. Ed Hardy offers Menswear across various categories including Shirts, T-shirts, Jeans, Jackets, Trousers and Shorts. The brand has recently launched its Womenswear range.",,General Fashion
Emporio Armani,All week days - 11am to 10pm.,Palladium Ground Level,,,"The label features ready-to-wear and accessories. Emporio Armani is available in its 13 stores in the U.S. and over 140 worldwide,and on the brands website. In January 2010, famed football star Cristiano Ronaldo and Hollywood movie star Megan Fox became the male and female face and body of Emporio Armani. The store is now open at The Palladium.",,General Fashion
Episode,All week days - 11am to 10pm.,Grand Galleria,,,"Episode, Indias premiere silversmiths, wallow its presence at Mumbais most adored retail space High Street Phoenix. Exemplifying luxury, Episode vintage in silver design and craftsmanship can be traced back to 1882. The store offers a large variety of silver , brass designs for ones home, gifting and for the corporate. Episode offers the same quality and design as it sells to its international clients like Armani, Lambert, Ralph Lauren, etc. Products include table and serve ware, uniquely designed deities like Ganeshas, decorative products like candle stands, vases, personal gifts as well as articles for your bar. The baby range is unique in itself. Custom made wedding invites for bridal trousseau, return gifts are among episodes vast repertoire of exclusive designs in silverware.",,"Home Decor / Accessories, Gifts , Hobbies"
Ermengildo Zegna,All week days - 11am to 10pm.,Palladium Ground Level,,,"Known for its bespoke suits, Italian luxury menswear retailer Ermenegildo Zegna specializes in off-the-shelf and custom-made shirts and suits.",,Mens Fashion
Estee Lauder,All week days - 11am to 10pm.,Palladium Second Level,,,"""Every woman can be beautiful.""- Estée Lauder Estée Lauder is one of the world’s most renowned beauty companies. Our skincare, makeup and fragrance products are innovative, technologically advanced and proven effective. Estée Lauder has earned a worldwide reputation for elegance, luxury and superior quality, and our products are sold in more than 140 countries and territories. For over 60 years, we have stayed true to the unshakeable belief that inspired Mrs. Estée Lauder to found her company in 1946: the belief that every woman can be beautiful. Today, that simple notion has literally changed the face of the beauty business. Welcome to the world of Estée Lauder.",,
